,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,container,Swift
22,container-builder-shim,Go
23,containerization,Swift
24,coremltools,Python
25,corenet,Jupyter Notebook
26,cups,C
27,darwin-libplatform,C
28,darwin-libpthread,C
29,darwin-xnu,C
30,device-management,
31,dmel,Python
32,dmel-demo,HTML
33,dnikit,Python
34,eidas,Go
35,embedding-atlas,TypeScript
36,example-package-fisheryates,Swift
37,FHIRModels,Swift
38,foundationdb,C++
39,fstools,C
40,game-center-tools,Python
41,GCGC,Jupyter Notebook
42,homebrew-apple,Ruby
43,HomeKitADK,C
44,learning-compressible-subspaces,Python
45,learning-subspaces,Python
46,llvm-monorepo-root,
47,llvm-project-v5,C++
48,llvm-project-v5-split,C++
49,ml-4m,Python
50,ml-acn-embed,Python
51,ml-act,Python
52,ml-ademamix,Python
53,ml-afv,Python
54,ml-agm,Python
55,ml-aim,Python
56,ml-all-pairs,Python
57,ml-ane-transformers,Python
58,ml-aspanformer,Python
59,ml-aura,Python
60,ml-autofocusformer,Python
61,ml-autofocusformer-segmentation,Python
62,ml-batchquant,Python
63,ml-behavioral-testing-for-mt,
64,ml-bilevel-train-dist,Python
65,ml-bloop,Python
66,ml-calibration,Jupyter Notebook
67,ml-capsules-inverted-attention-routing,Python
68,ml-cifar-10-faster,Python
69,ml-code-switched-speech-translation,Python
70,ml-codeswitching-translations,
71,ml-collegial-ensembles,Python
72,ml-comotion,Python
73,ml-compress-and-compare,Python
74,ml-core,Python
75,ml-covid-mobility,R
76,ml-cread,Python
77,ml-cross-entropy,Python
78,ml-cubifyanything,Python
79,ml-cvnets,Python
80,ml-cvpr2019-swd,Python
81,ml-dab,Python
82,ml-data-parameters,Python
83,ml-dataset-decomposition,Python
84,ml-delphi,
85,ml-depth-pro,Python
86,ml-destseg,Python
87,ml-diffusion-alignment-gflownet,Python
88,ml-direct2.5,Python
89,ml-divide-or-conquer,Python
90,ml-dms-dataset,Python
91,ml-dprecs,Jupyter Notebook
92,ml-dr,Python
93,ml-duet,Python
94,ml-entity-deduction-arena,Python
95,ml-entropy-reconstruction,Python
96,ml-envmapnet,Python
97,ml-equivariant-neural-rendering,Jupyter Notebook
98,ml-facelit,Python
99,ml-famae,Python
100,ml-fastvit,Python
101,ml-fastvlm,Python
102,ml-fct,Python
103,ml-ferret,Python
104,ml-finerecon,Python
105,ml-flair,Jupyter Notebook
106,ml-flextok,Jupyter Notebook
107,ml-gaudi,
108,ml-gbc,Python
109,ml-gendered-translation,Ruby
110,ml-gmpi,Python
111,ml-gsm-symbolic,
112,ml-gsn,Python
113,ml-hd-gist,Python
114,ml-heart-rate-models,Python
115,ml-hierarchical-confusion-matrix,TypeScript
116,ml-hugs,Python
117,ml-hypercloning,Python
118,ml-hypersim,Python
119,ml-interactive-data-augmentation,Svelte
120,ml-internal-llms-instruction-following,Python
121,ml-interspeech2022-phi_rtn,
122,ml-isqoe,Python
123,ml-jointnet,Python
124,ml-key-retrieval-code-tasks,Python
125,ml-keyframer,JavaScript
126,ml-kg-mt,Python
127,ml-kge,Python
128,ml-knowledge-conflicts,Python
129,ml-kpconvx,Python
130,ml-live-pose,
131,ml-llarp,Python
132,ml-lucid-datagen,Python
133,ml-mad-bench,Jupyter Notebook
134,ml-matrix3d,Python
135,ml-mcf,Python
136,ml-mdm,Python
137,ml-mgie,Python
138,ml-mia-bench,Jupyter Notebook
139,ml-MixupMP,Python
140,ml-mkqa,Python
141,ml-mobileclip,Python
142,ml-mobileone,Swift
143,ml-mofi,Python
144,ml-multiple-futures-prediction,Python
145,ml-mycelium,JavaScript
146,ml-ncg,Python
147,ml-negative-sampling,Python
148,ml-neilf,Python
149,ml-neilfpp,Python
150,ml-neuman,Python
151,ml-no-token-left-behind,Jupyter Notebook
152,ml-np-rasp,Python
153,ml-nvas3d,Python
154,ml-ogen,Python
155,ml-pgdvs,Python
156,ml-planner,Python
157,ml-pointconvformer,Python
158,ml-pointersect,Python
159,ml-probabilistic-attention,Python
160,ml-projunit,Python
161,ml-qrecc,Python
162,ml-quant,Python
163,ml-recurrent-drafter,Python
164,ml-reed,Python
165,ml-reversal-blessing,Python
166,ml-rlgrad,Python
167,ml-robust-expert-augmentations,Python
168,ml-rpm-bench,Python
169,ml-sad,Python
170,ml-sage-dialog-gen,Python
171,ml-sampleplan,Python
172,ml-selfcond,Python
173,ml-shuffling-amplification,Python
174,ml-sigma-reparam,Python
175,ml-sigmoid-attention,Python
176,ml-slowfast-llava,Python
177,ml-space-benchmark,Python
178,ml-spatial-librispeech,
179,ml-speech-is-more-than-words,
180,ml-spin,Python
181,ml-stable-diffusion,Python
182,ml-stabledreamer,
183,ml-stuttering-events-dataset,Python
184,ml-superposition-prompting,Python
185,ml-symphony,Svelte
186,ml-tarflow,Python
